ESN,Cycles_Since_New,Snapshot,Cumulative_WWs,Cumulative_HPC_SVs,Cumulative_HPT_SVs,Sensed_Altitude,Sensed_Mach,Sensed_Pamb,Sensed_Pt2,Sensed_TAT,Sensed_WFuel,Sensed_VAFN,Sensed_VBV,Sensed_Fan_Speed,Sensed_Core_Speed,Sensed_T25,Sensed_T3,Sensed_Ps3,Sensed_T45,Sensed_P25,Sensed_T5,Cycles_to_WW,Cycles_to_HPC_SV,Cycles_to_HPT_SV,scaled_index
101,0,1,0,0,0,425.66075794367265,0.05161198447876975,7.12523743557075,7.144729357967046,267.7031532032154,0.6057272836741076,3114.1966773054446,0.0,950.1438888570985,10630.682803328084,372.00459801448056,804.7085104886975,237.07943098645228,1086.65828761502,20.032904887594565,707.7387352493153,910,8510,4090,0
101,0,2,0,0,0,451.6607579436726,0.1068314857357125,7.112426290672686,7.314021025882122,268.65160661715726,0.6155641693450398,2929.670172176958,0.0,951.5044183813284,10640.020233012889,373.6592451901142,806.0740256702006,241.5951494998017,1086.052883006138,20.576040525661636,704.8219837264712,910,8510,4090,1
101,0,3,0,0,0,1705.1607579436727,0.17266648482018515,6.494781285683304,7.02786632237462,265.8753290936349,0.547982912862008,2675.339997233222,0.0,925.8099375280162,10507.141438095057,367.8650900780293,788.0156766144661,221.2107634043211,1053.2318429154468,19.379124613047725,682.7062475278592,910,8510,4090,2
101,0,4,0,0,0,10129.660757943671,0.30950249205761954,3.3398978980947924,4.310637680634776,249.5647537036527,0.34278393103731747,2304.1842366901715,0.0,930.3900083114625,10233.233057380625,353.14680906116325,752.4055611718127,141.994464058942,1008.4849801152571,12.787483497107226,628.3447698007592,910,8510,4090,3
101,0,6,0,0,0,10995.660757943671,0.3202124930494408,3.115477657113655,4.091877549695835,248.14094184928672,0.31154963697378224,2276.508423208445,0.0,914.4612379704148,10156.750828500384,349.8252416060573,742.3149282703617,130.77195748357957,992.185012770664,11.963789629510652,619.3327041131917,910,8510,4090,4
101,0,7,0,0,0,10998.660757943671,0.3208109832876305,3.1147002197892397,4.09491462839441,247.9681474236962,0.2444852240416959,2197.1309438146127,0.0041227042597085,832.3851636874703,9880.107491444664,337.64769932660636,705.385337028847,108.78215827509754,927.907738651753,10.572827904655401,597.0091929769468,910,8510,4090,5
101,0,8,0,0,0,10998.160757943671,0.2980364955537896,3.114829792676643,3.9478786822289673,244.90526776260103,0.21039668991287694,2191.3599690147216,0.0151939872099287,788.2892003564216,9686.169260387753,326.68733216942553,680.4314005146415,96.14509259334032,892.5601154867599,9.514488106683048,586.7254983421461,910,8510,4090,6
101,10,1,0,0,0,700.2572127098763,0.08231457524671246,11.390919359142323,11.421515594322646,432.64710947662365,0.9693946384431443,4987.976686929833,0.0,1524.3893524323385,17082.27875538511,600.7073709680645,1297.701948388767,377.3404654756546,1752.712297519686,31.94208017191575,1143.5047905604865,900,8500,4080,7
101,10,2,0,0,0,761.0572127098762,0.1775453751601188,11.36096098953454,11.712257432626071,436.41981201752594,0.9899419186568246,4663.574189961006,0.0,1530.8816996700657,17140.810425438416,606.5828348535072,1305.8991976564998,385.1698824824601,1760.027315109547,32.88793708975216,1144.1881122959553,900,8500,4080,8
101,10,3,0,0,0,2737.2572127098765,0.28356176965608293,10.387215430013189,11.29005819944217,433.40189395450125,0.9040536240344237,4252.599814783291,0.0,1504.8438853754808,16994.125221289054,601.0736971699204,1285.9368033549943,359.1431736194821,1722.0143234425802,31.408489443198043,1115.0420399587056,900,8500,4080,9
101,10,4,0,0,0,16093.457212709876,0.48318357818498303,5.37337925527944,6.853044592073777,404.58908378042327,0.544648815803601,3699.3306386891068,0.0,1492.0636879486217,16462.084752062587,571.6048919523626,1215.9103179474644,223.99899171712758,1630.407143094982,20.217528159105523,1020.0193005068811,900,8500,4080,10
101,10,6,0,0,0,19998.457212709876,0.5268551742352455,4.386596067834644,5.8461344127765225,394.06746969888957,0.45750519092681974,3637.2392020054567,0.0,1474.9937022346326,16233.726766448843,558.6006096045156,1186.2624293778174,190.70593558987588,1593.184222828363,17.402974502167492,989.2023019937214,900,8500,4080,11
